district,case_number,date,party,fine,n_fines,days_since_covid,case_type
OKLAHOMA,CF-2020-01371,2020-04-23,18154721,100,1,38,CF
OKLAHOMA,CF-2020-01372,2020-06-15,18154730,50,1,91,CF
OKLAHOMA,CF-2020-01374,2022-01-21,18154745,50,1,676,CF
OKLAHOMA,CF-2020-01374,2022-01-21,18154747,50,1,676,CF
OKLAHOMA,CF-2020-01375,2020-10-08,18154863,75,1,206,CF
OKLAHOMA,CF-2020-01375,2021-01-06,18154874,50,1,296,CF
OKLAHOMA,CF-2020-01376,2020-12-08,18154862,50,1,267,CF
OKLAHOMA,CF-2020-01378,2020-06-09,18154930,100,1,85,CF
OKLAHOMA,CF-2020-01379,2021-02-01,18154985,100,1,322,CF
OKLAHOMA,CF-2020-01379,2021-04-05,18154944,100,1,385,CF
OKLAHOMA,CF-2020-01380,2022-08-31,18154954,50,1,898,CF
OKLAHOMA,CF-2020-01382,2020-10-16,18155001,50,1,214,CF
OKLAHOMA,CF-2020-01383,2020-04-23,18155039,50,1,38,CF
OKLAHOMA,CF-2020-01384,2020-09-18,18155055,50,1,186,CF
OKLAHOMA,CF-2020-01385,2021-03-15,18155056,200,2,364,CF
OKLAHOMA,CF-2020-01386,2021-04-26,18155084,50,1,406,CF
OKLAHOMA,CF-2020-01387,2021-12-15,18155085,100,1,639,CF
OKLAHOMA,CF-2020-01388,2021-05-28,18155106,50,1,438,CF
OKLAHOMA,CF-2020-01392,2021-03-23,18155691,50,1,372,CF
OKLAHOMA,CF-2020-01394,2022-01-20,18155724,150,2,675,CF
OKLAHOMA,CF-2020-01399,2021-04-21,18156025,100,1,401,CF
OKLAHOMA,CF-2020-01401,2020-06-10,18156148,100,1,86,CF
OKLAHOMA,CF-2020-01402,2020-04-23,18156422,100,1,38,CF
OKLAHOMA,CF-2020-01402,2020-04-24,18156451,100,1,39,CF
OKLAHOMA,CF-2020-01403,2020-07-13,18156488,50,1,119,CF
OKLAHOMA,CF-2020-01404,2021-02-03,18156563,50,1,324,CF
OKLAHOMA,CF-2020-01405,2020-05-12,18156630,50,1,57,CF
OKLAHOMA,CF-2020-01405,2020-12-10,18156625,50,1,269,CF
OKLAHOMA,CF-2020-01407,2020-06-15,18156656,100,1,91,CF
OKLAHOMA,CF-2020-01410,2022-04-20,18156691,50,1,765,CF
OKLAHOMA,CF-2020-01413,2020-12-08,18156708,50,1,267,CF
OKLAHOMA,CF-2020-01416,2020-06-03,18156740,100,1,79,CF
OKLAHOMA,CF-2020-01420,2020-04-28,18156819,100,1,43,CF
OKLAHOMA,CF-2020-01428,2021-09-10,18156880,50,1,543,CF
OKLAHOMA,CF-2020-01430,2021-07-07,18156894,50,1,478,CF
OKLAHOMA,CF-2020-01431,2020-06-01,18156899,80,1,77,CF
OKLAHOMA,CF-2020-01432,2020-11-10,18156901,45,1,239,CF
OKLAHOMA,CF-2020-01433,2021-02-05,18156907,50,1,326,CF
OKLAHOMA,CF-2020-01434,2020-06-10,18156928,200,1,86,CF
OKLAHOMA,CF-2020-01435,2021-05-05,18157016,160,2,415,CF
OKLAHOMA,CF-2020-01437,2021-12-15,18157049,50,1,639,CF
OKLAHOMA,CF-2020-01438,2021-08-23,18157247,200,2,525,CF
OKLAHOMA,CF-2020-01442,2020-07-14,18157392,100,1,120,CF
OKLAHOMA,CF-2020-01443,2020-08-28,18157399,100,1,165,CF
OKLAHOMA,CF-2020-01445,2021-04-21,18157431,100,1,401,CF
OKLAHOMA,CF-2020-01446,2021-02-24,18157441,100,1,345,CF
OKLAHOMA,CF-2020-01448,2021-03-24,18157530,50,1,373,CF
OKLAHOMA,CF-2020-01449,2020-09-15,18157556,100,1,183,CF
OKLAHOMA,CF-2020-01450,2020-09-01,18157624,150,1,169,CF
OKLAHOMA,CF-2020-01451,2021-09-22,18157654,100,1,555,CF
OKLAHOMA,CF-2020-01452,2022-06-29,18157653,175,2,835,CF
OKLAHOMA,CF-2020-01453,2021-02-12,18157703,150,1,333,CF
OKLAHOMA,CF-2020-01454,2021-04-21,18157708,100,1,401,CF
OKLAHOMA,CF-2020-01456,2020-08-24,18157770,100,1,161,CF
OKLAHOMA,CF-2020-01458,2020-07-02,18157833,105,2,108,CF
OKLAHOMA,CF-2020-01460,2020-10-16,18158119,1100,3,214,CF
OKLAHOMA,CF-2020-01461,2020-04-28,18158123,350,2,43,CF
OKLAHOMA,CF-2020-01462,2020-06-15,18158127,50,1,91,CF
OKLAHOMA,CF-2020-01464,2021-05-18,18158254,50,1,428,CF
OKLAHOMA,CF-2020-01466,2021-04-07,18158262,50,1,387,CF
OKLAHOMA,CF-2020-01467,2022-01-20,18158273,50,1,675,CF
OKLAHOMA,CF-2020-01468,2020-05-21,18158306,1100,2,66,CF
OKLAHOMA,CF-2020-01469,2021-05-05,18158323,50,1,415,CF
OKLAHOMA,CF-2020-01472,2021-04-05,18158340,50,1,385,CF
OKLAHOMA,CF-2020-01473,2020-04-30,18158350,50,1,45,CF
OKLAHOMA,CF-2020-01474,2020-09-17,18158356,50,1,185,CF
OKLAHOMA,CF-2020-01475,2021-04-13,18158360,50,1,393,CF
OKLAHOMA,CF-2020-01476,2021-03-17,18158365,100,1,366,CF
OKLAHOMA,CF-2020-01476,2021-03-17,18158372,50,1,366,CF
OKLAHOMA,CF-2020-01477,2020-06-17,18158377,180,1,93,CF
OKLAHOMA,CF-2020-01478,2021-03-11,18158378,50,1,360,CF
OKLAHOMA,CF-2020-01480,2021-06-18,18158394,50,1,459,CF
OKLAHOMA,CF-2020-01481,2020-05-11,18158397,50,1,56,CF
OKLAHOMA,CF-2020-01482,2021-01-20,18158419,500,1,310,CF
OKLAHOMA,CF-2020-01487,2021-06-15,18158461,100,1,456,CF
OKLAHOMA,CF-2020-01488,2021-09-23,18158465,100,1,556,CF
OKLAHOMA,CF-2020-01489,2021-01-21,18158536,50,1,311,CF
OKLAHOMA,CF-2020-01490,2021-07-13,18158718,150,1,484,CF
OKLAHOMA,CF-2020-01491,2020-07-09,18158730,400,2,115,CF
OKLAHOMA,CF-2020-01492,2020-06-24,18158742,50,1,100,CF
